TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2024-10-15,2024-10-15,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,8570.50,8675.00,8548.40,8642.85,8623.20,8566.20,,8648.30,,,1808,15576005.00,694,F1,1,,,,,
2024-10-15,2024-10-15,CM,BSE,STK,500003,INE208C01025,AEGISLOG,A,,,,,AEGIS LOGISTICS LTD.,670.05,734.65,670.05,727.80,727.80,676.65,,727.50,,,38081,27202848.00,2759,F1,1,,,,,
2024-10-15,2024-10-15,CM,BSE,STK,500008,INE885A01032,ARE&M,A,,,,,Amara Raja Energy & Mobility L,1400.00,1402.00,1385.40,1392.60,1392.60,1390.60,,1393.55,,,20030,27880452.00,1600,F1,1,,,,,
2024-10-15,2024-10-15,CM,BSE,STK,500009,INE432A01017,AMBALALSA,X,,,,,AMBALAL SARABHAI ENTERPRISES L,61.78,61.94,60.15,60.47,60.47,61.28,,60.47,,,75645,4613902.00,370,F1,1,,,,,
2024-10-15,2024-10-15,CM,BSE,STK,500012,INE714B01016,ANDHRAPET,X,,,,,ANDHRA PETROCHEMICALS LTD.,91.50,92.89,90.10,90.56,90.90,91.85,,90.56,,,74756,6791580.00,1511,F1,1,,,,,
2024-10-15,2024-10-15,CM,BSE,STK,500014,INE096A01010,UTIQUE,X,,,,,UTIQUE ENTERPRISES LIMITED,7.15,7.40,6.90,7.16,7.25,7.25,,7.16,,,7610,54324.00,140,F1,1,,,,,
2024-10-15,2024-10-15,CM,BSE,STK,500016,INE957C01019,ARUNAHTEL,X,,,,,ARUNA HOTELS LTD.,11.78,11.78,11.31,11.71,11.71,11.30,,11.71,,,412,4749.00,22,F1,1,,,,,
2024-10-15,2024-10-15,CM,BSE,STK,500020,INE032A01023,BOMDYEING,A,,,,,BOMBAY DYEING & MFG.CO.LTD.,240.00,241.40,228.05,228.85,228.85,238.00,,229.05,,,256905,60163258.00,4830,F1,1,,,,,
2024-10-15,2024-10-15,CM,BSE,STK,500023,INE363A01022,ASIANHOTNR,B,,,,,ASIAN HOTELS (NORTH) LIMITED,205.40,206.00,202.50,202.50,202.50,205.60,,205.05,,,316,64676.00,29,F1,1,,,,,
2024-10-15,2024-10-15,CM,BSE,STK,500027,INE100A01010,ATUL,A,,,,,ATUL LTD.,7997.95,8037.10,7621.00,7831.75,7823.90,7913.00,,7836.45,,,6332,49568487.00,1797,F1,1,,,,,
2024-10-15,2024-10-15,CM,BSE,STK,500028,INE447A01015,ATVPR,X,,,,,ATV PROJECTS INDIA LTD.,34.99,35.89,34.10,35.89,35.89,34.19,,35.89,,,66689,2367782.00,247,F1,1,,,,,
2024-10-15,2024-10-15,CM,BSE,STK,500031,INE193E01025,BAJAJELEC,A,,,,,BAJAJ ELECTRICALS LTD.,905.55,912.05,893.00,894.75,894.05,906.65,,895.50,,,3287,2948134.00,636,F1,1,,,,,
2024-10-15,2024-10-15,CM,BSE,STK,500032,INE306A01021,BAJAJHIND,A,,,,,BAJAJ HINDUSTHAN SUGAR LIMITED,38.98,39.38,38.48,38.60,38.67,38.79,,38.60,,,1136495,44093364.00,4408,F1,1,,,,,
2024-10-15,2024-10-15,CM,BSE,STK,500033,INE451A01017,FORCEMOT,A,,,,,FORCE MOTORS LTD.,6990.75,7154.00,6892.50,7039.15,7045.45,6938.85,,7037.40,,,2378,16638232.00,566,F1,1,,,,,
