SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,2414.00,2488.45,2414.00,2456.90,2442.00,2428.60,2223,18759,45986056.00,
500003,AEGIS LOGIS ,A ,Q,218.00,221.00,212.10,213.35,213.70,217.60,1031,45097,9751152.00,
500008,AMAR RAJA BA,A ,Q,505.00,508.80,500.55,503.30,505.45,502.20,801,15482,7825016.00,
500009,A.SARABHAI  ,X ,Q,31.30,31.30,30.55,31.15,30.90,30.85,320,97250,3006892.00,
500010,HDFC        ,A ,Q,2304.00,2335.50,2291.90,2328.85,2328.85,2307.20,5014,53671,124522109.00,
500012,ANDHRA PETRO,B ,Q,89.45,91.25,87.10,89.85,89.85,89.40,1562,150423,13526906.00,
500013,ANSAL INFRAS,T ,Q,14.50,14.52,14.15,14.27,14.20,14.05,22,9153,131535.00,
500014,UTIQUE      ,X ,Q,5.80,5.80,5.02,5.18,5.24,5.36,258,89998,482813.00,
500016,ARUNAHTEL   ,X ,Q,11.61,11.61,10.55,10.84,10.55,11.02,77,1065,11379.00,
500020,BOM DYEING  ,A ,Q,104.95,107.85,104.55,106.90,106.55,104.75,2640,218328,23196769.00,
500023,ASIANHOTNR  ,B ,Q,77.90,78.30,77.55,77.90,78.25,78.05,23,29,2259.00,
500027,ATUL LTD.   ,A ,Q,8167.10,8221.65,8052.05,8084.35,8084.35,8142.90,373,512,4159894.00,
500028,ATV PROJECTS,XT,Q,8.28,8.45,7.89,8.20,8.20,8.28,55,10805,87999.00,
500031,BAJAJ ELECT.,A ,Q,1018.80,1018.80,973.60,979.45,977.95,992.05,1025,9928,9782041.00,
500032,BAJAJHIND   ,A ,Q,14.06,14.75,14.05,14.68,14.68,14.05,2352,1326900,19082752.00,
500033,FORCE MOTR  ,A ,Q,1074.60,1074.60,1035.00,1047.50,1052.95,1060.90,294,1144,1203201.00,
500034,BAJFINANCE  ,A ,Q,6082.00,6109.20,5980.00,6010.00,6010.00,6078.85,5939,62374,376720130.00,
500038,BALRAM.CHINI,A ,Q,406.00,413.30,396.25,409.70,410.65,404.20,2663,297844,120470542.00,
500039,BANCO PROD. ,B ,Q,165.55,171.30,164.35,167.80,167.80,163.20,943,29449,4945464.00,
500040,CENTURY TEXT,A ,Q,781.45,824.00,781.45,806.60,804.90,799.35,1814,14124,11444129.00,
500041,BANNARI AMAN,A ,Q,2518.45,2546.85,2500.00,2507.50,2500.00,2497.80,25,44,110906.00,
500042,BASF INDIA  ,A ,Q,2560.90,2646.75,2543.10,2580.85,2581.55,2550.35,544,1513,3920451.00,
500043,BATA INDIA  ,A ,Q,1880.00,1898.40,1826.05,1850.30,1850.30,1877.80,4301,3669225,6824981880.00,
500048,BEML LTD    ,A ,Q,1414.00,1442.50,1385.00,1392.65,1392.65,1418.35,1751,7871,11141822.00,
500049,BHARAT ELECT,A ,Q,236.45,247.70,234.75,246.25,246.25,234.60,5926,357933,86515654.00,
500052,BHANSALI ENG,A ,Q,115.90,116.55,113.75,114.50,114.35,114.40,436,6529,751558.00,
500058,BIHAR SPONGE,XT,Q,11.61,11.61,11.61,11.61,11.61,11.06,54,31312,363532.00,
500060,BIRLACABLE  ,B ,Q,125.35,125.50,120.15,121.00,122.15,124.70,682,15005,1841141.00,
500067,BLUE STAR   ,A ,Q,1032.35,1034.10,1012.00,1021.45,1017.45,1024.60,742,6199,6320344.00,
500068,DISA INDIA  ,X ,Q,6229.95,6229.95,6058.00,6135.00,6140.00,6184.95,36,144,884053.00,
500069,QUESTCAP    ,X ,Q,244.65,251.05,244.65,251.05,251.05,239.10,86,4923,1231316.00,
500074,BPL LTD.    ,B ,Q,68.00,68.90,66.55,67.05,66.55,67.05,307,14512,977148.00,
500078,OAL         ,B ,Q,560.00,560.00,529.80,537.50,535.50,537.90,138,674,361635.00,
500083,CENTURY EXT ,B ,Q,10.48,10.52,10.10,10.22,10.26,10.48,50,10754,110677.00,
500084,CESC LTD.   ,A ,Q,78.00,79.35,77.90,78.15,78.40,78.00,1318,86805,6822685.00,
500085,CHAMBAL FERT,A ,Q,369.00,370.60,355.10,357.70,357.70,363.15,2271,128730,46965869.00,
500086,EXIDE IND.  ,A ,Q,146.45,148.15,146.30,147.20,147.20,146.45,2865,136306,20087941.00,
500087,CIPLA LTD.  ,A ,Q,991.00,998.70,980.30,983.15,983.15,993.85,1895,28498,28187013.00,
500089,DIC INDIA   ,B ,Q,359.00,362.70,349.00,349.00,349.00,355.35,27,86,30550.00,
500092,CRISIL LTD  ,A ,Q,3412.15,3570.00,3410.65,3548.55,3544.80,3412.15,1559,4460,15591040.00,
500093,CGPOWER     ,B ,Q,182.00,186.25,182.00,184.90,184.00,181.75,1206,43972,8114686.00,
500096,DABUR (I)   ,A ,Q,519.00,526.90,515.80,516.95,517.40,518.75,1630,113695,59133654.00,
500097,DALMIASUG   ,A ,Q,397.00,397.00,377.10,386.95,386.65,383.90,1620,18555,7161980.00,
500101,ARVIND Ltd  ,A ,Q,101.50,101.50,99.40,99.85,99.85,100.30,1251,86865,8675241.00,
500102,BALARPUR IND,Z ,Q,1.51,1.51,1.51,1.51,1.51,1.44,50,150887,227839.00,
500103,BHEL        ,A ,Q,51.25,52.40,51.20,51.65,51.65,51.25,5556,2102474,108999191.00,
500104,HIND.PETRO  ,A ,Q,229.00,235.75,228.40,229.60,229.60,227.75,2758,257018,59395129.00,
500106,IFCI LTD    ,A ,Q,10.30,10.52,9.98,10.42,10.42,9.99,877,1190456,12220559.00,
500108,MAHA.TELE   ,A ,Q,22.05,22.15,21.70,21.85,21.85,21.90,614,120269,2636210.00,
500109,MRPL        ,A ,Q,82.00,84.75,80.80,82.75,82.75,81.00,4695,647030,53559113.00,
500110,CHENNAI PET.,A ,Q,288.00,295.65,287.35,295.30,295.30,281.60,4528,307819,90394595.00,
500111,REL.CAP.    ,T ,Q,14.10,14.20,13.80,13.93,13.93,14.00,316,75308,1054264.00,
500112,STATE BANK  ,A ,Q,467.80,471.80,464.75,468.20,468.20,467.80,6025,278790,130620302.00,
500113,STEEL AUTH. ,A ,Q,76.70,77.00,75.05,76.45,76.45,75.95,9164,1764983,134458643.00,
500114,TITAN       ,A ,Q,2246.20,2304.60,2181.00,2197.50,2197.50,2217.60,7950,81126,180732616.00,
500116,IDBI BANK L ,A ,Q,37.00,37.25,36.30,36.75,36.75,36.65,1955,474620,17499135.00,
500117,DCW LTD.    ,B ,Q,41.55,42.90,41.00,42.05,42.05,41.55,1256,96555,4044496.00,
500119,DHAMPUR SUGA,A ,Q,251.90,281.80,251.75,272.45,272.45,248.15,9291,345836,92053184.00,
500120,DIAMINES&CHM,X ,Q,306.45,306.45,297.00,297.45,297.00,295.15,85,3608,1074722.00,
